// <item_id>,<show_order>,<rarity>,<skill_A>,<skill_A_Lv_Bonus>,<skill_B>,<skill_B_Lv_Bonus>,<skill_C>,<skill_C_Lv_Bonus>,<HP_exp>,<Atk_exp>,<Def_exp>,<Matk_exp>,<Mdef_exp>,<Hit_exp>,<Flee_exp>,<Efficacy>,<Count>,<HP_Bonus>,<Atk_Bonus>,<Def_Bonus>,<Matk_Bonus>,<Mdef_Bonus>,<Hit_Bonus>,<Flee_Bonus>,<name>
// <物品ID>,<显示顺序>,<稀有度>,<技能A>,<技能A_Lv加成>,<技能B>,<技能B_Lv加成>,<技能C>,<技能C_Lv加成>,<封缄_HP>,<封缄_Atk>,<封缄_Def>,<封缄_Matk>,<封缄_Mdef>,<封缄_Hit>,<封缄_Flee>,<封缄_效果>,<封缄_回数>,<波动_HP>,<波动_Atk>,<波动_Def>,<波动_Matk>,<波动_Mdef>,<波动_Hit>,<波动_Flee>,<名称>
2014,14,C,0,0,430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,青紫色内裤
2015,15,SR,0,0,0,0,0,0,0,0,800,0,1000,0,1000,0,0,0,0,0,0,0,0,0,天缘神之衣
2016,16,SR,427,5,427,3,427,1,0,0,700,0,1300,0,1500,0,0,0,0,0,0,0,0,0,海谢拉铠甲
2017,17,UR,427,9,427,7,427,5,0,0,1000,0,3000,0,2000,0,0,0,0,8,0,8,0,0,符文·海谢拉铠甲
2018,18,SR,0,0,0,0,0,0,0,0,800,0,900,0,1000,0,0,0,0,0,0,0,0,0,隶姬之衣
2019,19,SR,0,0,0,0,0,0,0,0,1000,0,1000,0,1000,0,0,0,0,0,0,0,0,0,姫将军之衣
2020,20,SR,453,7,453,5,453,3,0,0,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,战姬的斗衣
2021,21,UR,185,9,185,7,185,5,0,0,2000,0,2500,0,2000,0,0,0,0,8,0,7,0,0,英杰的斗衣

2026,22,C,185,7,185,5,185,3,0,0,1000,0,1000,0,1500,0,0,0,0,0,0,0,0,0,女仆服
2027,23,C,435,7,435,5,435,3,0,0,500,0,1500,0,2500,0,0,0,0,0,0,0,0,0,歪魔之衣
2028,24,SR,208,9,208,7,208,5,0,0,0,0,3000,0,1000,0,0,0,0,10,0,10,0,0,魔猪皮

2099,25,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,毫无价值的衣

2101,26,C,0,0,0,0,0,0,0,0,400,0,200,0,0,0,0,0,0,0,0,0,0,0,板金胸甲
2102,27,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,斗士之铠
2103,28,R,185,3,185,2,185,1,0,0,600,0,800,0,500,0,0,0,0,0,0,0,0,0,岚精灵斗铠
2104,29,UC,0,0,184,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,冰结之铠
2105,30,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,秘银板甲
2106,31,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,大骑士之铠
2107,32,SR,425,5,425,3,425,1,2000,0,800,0,800,0,0,0,0,0,0,0,0,0,0,0,霸者斗铠
2108,33,R,410,3,410,2,410,1,1000,0,1200,0,0,0,1000,0,0,0,0,5,0,3,0,0,龙牙斗铠
2109,34,UC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,轰炎之铠
2110,35,C,0,0,408,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,守护天使之铠
2111,36,UC,0,0,183,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,哭璃之铠
2112,37,SR,183,9,183,7,183,5,0,0,1500,0,800,0,1000,0,0,0,0,5,0,4,0,0,罗歌雷斯斗铠
2113,38,UR,185,9,185,7,185,5,3000,0,5500,0,3000,0,500,0,0,0,0,0,0,0,0,0,魔王的斗铠
2114,39,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,罗查莉多的大铠
2115,40,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,铸织斗铠
2116,41,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,铸织地斗铠
2117,42,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,铸织冰斗铠
2118,43,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,铸织炎斗铠
2119,44,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,铸织雷斗铠
2120,45,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,铸织光斗铠
2121,46,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,铸织暗斗铠
2122,47,SR,208,7,208,5,208,3,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,战鬼的斗铠
2123,48,UR,185,9,185,7,185,5,0,0,2500,0,2000,0,0,0,0,0,0,8,0,4,0,0,英杰的斗铠

2131,49,SR,509,9,509,7,509,5,0,0,1500,0,3000,0,0,0,0,0,0,7,0,10,0,0,术式的斗铠
2132,50,SR,501,9,501,7,501,5,0,0,3000,0,1500,0,0,0,0,0,0,10,0,7,0,0,剑王的斗铠
2133,51,UR,182,9,182,7,182,5,0,0,3000,0,2000,0,1000,0,0,0,0,10,0,9,0,0,封葬斗铠

2199,52,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,毫无价值的铠甲
