// <item_id>,<name>
2507,维戈亮之心
2508,克莱霍尔斯
2509,雷瓦汀
2510,卡塔夫林格
2511,鲁沙夫
2512,里亚斯雷弗
2513,迅冻凛刃
2514,猩红疤痕
2515,暴击棒球棒
2516,冷冻金枪鱼
2517,电锯
2518,瓦尔玫瑰

2526,骑士团的大剑
2527,凶族的大剑
2528,消沉剑阿瓦鲁
2529,蛇剑赫尔密斯
2530,狂剑卡萨拿特
2531,宝剑利维莱茵
2532,雷剑瓦斯德
2533,火剑贝雷梅乌斯
2534,冰剑塞西莱恩
2535,圣剑塞蕾蒂亚
2536,狱剑柯尼希
2537,神剑利古来亚
2538,天剑草薙
2539,秘剑莉蒂姆
2540,恶鬼的金棒
2541,等身大抱枕
2542,碎剑吉他
2543,独剑艾因吉姆

2551,圣岚之镰
2552,死神之镰
2553,消沉的恐镰
2554,断罪的大镰
2555,劫火的焰镰
2556,赎罪的光镰
2557,真实的大镰
2558,轮回的大镰
2559,破灭的大镰
2560,锐刃的镰
2561,硬钢的大镰
2562,宵暗的黑镰
2563,业断的重镰
2564,罗刹的狂镰
2565,天破的白镰
2566,传说中的人妖
2567,鹤嘴锄
2568,巨人之锤
2569,勇士的死镰

2601,露娜格尼斯
2602,雷枪
2603,消沉的枪
2604,火枪露娜格尼斯
2605,魔导枪穆勒夫
2606,冰枪露娜格尼斯
2607,暗枪露娜格尼斯
2608,光枪露娜格尼斯
2609,魔导枪巴兹
2610,八咫乌的魔枪
2611,爆炎枪萨里奥
2612,魔导枪拉榭尔
2613,暗枪德普盖尔
2614,魔导枪流星
2615,光枪尼普芬尼尔
2616,水枪迪比奥
2617,煌枪三叉戟
2618,刺穿死棘之枪
2619,伸缩晾衣竿
2620,长柄修枝剪刀
2621,战斗用狩枪
2622,贤枪击灭枪王

2651,帚
2652,迷失之帚
2653,奥西里斯之帚
2654,强袭之帚
2655,佛多娜之帚
2656,索非亚之帚
2657,印有女仆天使的竹帚
2658,龙卷风喷射扫把
2659,万能厕泵
2660,斯托尔兹巴利

2701,精灵之弓
2702,尼尔希尔之弓
2703,削弱战意的弓
2704,魔弓杰奥
2705,猫印的大弓
2706,红莲的炎弓
2707,大地的魔弓
2708,雷鸣的魔弓
2709,奥伯伦之弓
2710,符文·世界
2711,硬岩的大地弓
2712,凶事的愿弓
2713,贯岩弓查尔斯
2714,鼓励之弓
2715,丘比特之弓
2716,爱神之箭
2717,魔弓·笹剪千鸟
